"WEAPON","","INFO","","","","PREFERENCE","","","PERKS","","","ROLE / NOTES","ANALYSIS","","SOURCE",""
"","Agape","Hand Cannon","Energy","Solar","Heavy Burst","Smallbore
Corkscrew
Polygonal","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Moving Target
Encore
Heal Clip","Master of Arms
Vorpal Weapon","Exhaustive Research","2-round burst handcannon.
Surprisingly effective Vorpal Weapon in Energy Slot, able to 2 burst most supers.
Lackluster column 1 perks, no neutral TTK shift perks in column 2.
Master of Arms x1 = 0.93 -> 0.53
Origin is borderline useless.","","C","Kepler Destination","No"
"","Something New","Hand Cannon","Kinetic","Stasis","Aggressive","Smallbore
Corkscrew
Polygonal","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Keep Away
Built To Blast
Rapid Hit","Precision instrument
Kill Clip
Headstone","Nadir Focus
Dream Work","No slide perks. Lacks Adagio.
Kill Clip / Binary Orbit + 145 weapons TtK shift: 1.00 -> 0.50
Frostees or x1 Stasis Surge reduces weapons req. to 115.","","A","Tenet of Bravery","No"
"","Survivor's Epitaph","Hand Cannon","Kinetic","Kinetic","Precision","Fullbore
Hammer-forged
Smallbore","Ricochet
High-Caliber
Armor Piercing","Range
Stability","High-Impact Reserves
Moving Target
Eye of the Storm","Precision instrument
Kill Clip
Multikill Clip","Accelerated Assault
Roar of Battle
Tex Balanced Stock","Surprisingly effective 180 RPM Precision handcannon.
Combining High-Impact Reserves + PI + Accelerated Assault can just sporadically cause 3-taps with no weapons investment.
Pair PI w/ 170? weapons for neutral TTK shift to 3-tap.
1.00->0.67","","A","Crucible / Lord Shaxx Vendor","No"
"","Vulpecula","Hand Cannon","Kinetic","Stasis","Precision","Fullbore
Hammer-forged
Smallbore","Accurized
Steady","Range
Stability","Headstone
Killing Wind
Shoot To Loot","Eye of the Storm
Explosive Payload
Adagio","Ignoble Deeds","Mostly PvE focused perk pools in both columns.
Lacks PI or other damage perks to make up for base precision HC frame weaknesses.
Headstone res block.
Adagio ttk shift: 1.00 -> 0.80","","F","Shattered Throne Dungeon","No"
"","Zaouli's Bane (King's Fall Variant)","Hand Cannon","Energy","Solar","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Explosive Payload
Keep Away
Opening Shot","Eye of the Storm
Meganeura
Incandescent","Runneth Over","Primarily PvE focused perk options in both slots.
Double AoE via Exp Payload + Meganeura/Incan/Firefly can punish teams laning together.","","C","King's Fall Raid","Yes"
"","Judgment (Monument of Triumph Variant)","Hand Cannon","Kinetic","Stasis","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Keep Away
Lone Wolf
Headstone","Rangefinder
Opening Shot
Precision Instrument","Crossing Over","Competitive perk options in both columns
Headstone res block in Column 1
Origin provides Range & Handling above 50% mag, and +2-4% damage under 50%.
Loss of Vorpal & Slideshot hurts this weapon compared to its predecessors.","","B","Prophecy Dungeon","No"
"","Yesterday's Question","Hand Cannon","Energy","Arc","Heavy Burst","Smallbore
Corkscrew
Polygonal","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Lone Wolf
Rapid Hit
Dragonfly","Desperate Measures
Headseeker
Vorpal Weapon","Fleet Footed
Roar of Battle
(Alacrity &
One Quiet Moment)","2-round burst handcannon.
Surprisingly effective Vorpal Weapon in Energy Slot, able to 2 burst most supers.
No neutral TTK shift perks. Can be achieved via Mask of Bakris Light Shift though.
TtK shift via Light Shift x1 or Desperate Measures x1 = 0.93 -> 0.53","","A","Trials of Osiris / Saint-14 Vendor","No"
"","Judgment (Rite of the Nine Variant)","Hand Cannon","Kinetic","Stasis","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Slideshot
Keep Away
Lone Wolf
Headstone","Opening Shot
Precision Instrument
Paracausal Affinity","Crossing Over
Gravity Well","Competitive perk options in both columns
Headstone res block in Column 1
Has access to alternate Origin Gravity Well.
Grav Well picks up all ammo bricks on ground within 15yds on reload. Can activate ""On ammo pickup"" perks such as Twofold Crown 2pc, or Adhesive Ordnance.
Origin (non-enhanced) provides Range & Handling above 50% mag, and +1.5-3% damage under 50%.
Non-tiered, but enhanceable.","","B","Unobtainable (Previously Rite of the Nine)","No"
"","Frontier's Cry","Hand Cannon","Energy","Solar","Precision","Fullbore
Hammer-forged
Smallbore","Accurized
Steady","Range
Stability","Rapid Hit
Tunnel Vision","Kill Clip
Adagio
Eye of the Storm","Skulking Wolf","Lackluster Column 1 & 2 perks.
Lacks Precision Instrument and other perks to neutral shift TTK.
TtK shift via Kill Clip: 1.00 -> 0.67
Adagio => 0.80
Low base stats.","","D","Iron Banner / Valus Saladin Vendor","No"
"","Optative","Hand Cannon","Energy","Void","Precision","Fullbore
Hammer-forged
Smallbore","Accurized
Steady","Range
Stability","Keep Away
Rapid Hit
Hip-fire Grip","Kill Clip
Golden Tricorn
Zen Moment","Nano-Munitions","Good perks unfortunately paired with a non-synergistic frame.
Lacks Precision Instrument and other perks to neutral shift TTK.
TtK shift via Kill Clip & Golden Tricorn x1: 1.00 -> 0.67
Low base stats.","","D","Encore Exotic Mission 
Classic Collections Modifier: ON","Yes"
"","Targeted Redaction","Hand Cannon","Energy","Void","Aggressive","Smallbore
Corkscrew
Polygonal","Accurized
Steady","Range
Stability","Well-Rounded
Perfect Float","Focused Fury
Keep Away","Unsated Hunger","Lackluster Column 1 & 2 perks overall.
Primarily look to activate Focused Fury + 145 Weapons stat via peeking then engage w/ TTK shift enabled via perk.
Focused Fury TtK shift: 1.00 -> 0.50","","B","Xur","Yes"
"","Crisis Inverted","Hand Cannon","Energy","Arc","Adaptive","Hammer-forged
Smallbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Moving Target
Rapid Hit
Under Pressure","Rangefinder
Opening Shot
Vorpal Weapon","Omolon Fluid Dynamics","One of the few still available Vorpal Weapon 140 HC.
Lacks Slide perks.
Non-tiered, non-enhanceable.","","C","Lord Shaxx Vendor Legacy Focusing","No"
"","Annual Skate","Hand Cannon","Energy","Solar","Adaptive","Crossfire HCS
Hitmark HCS
Truesight HCS","Accurized
Steady","Range
Stability","Slideshot","Opening Shot","None","Low base stats. No origin.
Sights instead of barrels.
Non-tiered, non-enhanceable.","","C","Xur / Dares of Eternity Loot Pool","No"
"","Ikelos_HC_v1.0.3","Hand Cannon","Energy","Void","Precision","Fullbore
Hammer-forged
Smallbore","Accurized
Seraph Rounds
Steady","Range
Stability","Well-Rounded
Rapid Hit
Offhand Strike","Focused Fury
Golden Tricorn
Frenzy","Rasputin's Arsenal","Lackluster perk options for PvP.
Primarily look to activate Focused Fury via peeking then engage w/ TTK shift enabled via perk.
Focused Fury, Frenzy, Golden Tricorn x1, or Rampage x1 Ttk shift: 1.00 -> 0.67
Low base range.","","D","Operation: Seraph's Shield Legacy Loot
Modifier Classic Collections: ON","Yes"
"","Dire Promise","Hand Cannon","Kinetic","Kinetic","Adaptive","Crossfire HCS
Hitmark HCS
Truesight HCS","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Opening Shot
Snapshot Sights","Rangefinder
Elemental Capacitor
Swashbuckler","None","""See you, Space Cowboy...""
VERY HIGH AA. No origin.
Opening shot & Rangefinder make this a solid competitive choice.
Non-tiered, non-enhanceable.","","A","Xur / Dares of Eternity Loot Pool","No"
"","Ancient Gospel","Hand Cannon","Energy","Void","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Lone Wolf
Eye of the Storm
Rampage","Precision Instrument
Rangefinder
Explosive Payload
Kill Clip
Swashbuckler","Photoinhibition","Stacked perk options & exceptional Origin.
TTK shift via Rampage x2 + Kill Clip OR Rampage x1 + Swashbuckler x4: 0.87 -> 0.43
Very strong option vs. Overshields & Woven Mail due to PI + Origin.
Lower than average base AA & stats for 140 HCs.","","A","Garden of Salvation Raid","Yes"
"","Pure Poetry","Hand Cannon","Kinetic","Kinetic","Aggressive","Smallbore
Corkscrew
Polygonal","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Fragile Focus
Well-Rounded
Perpetual Motion","Opening Shot
Eye of the Storm
Elemental Capacitor","Vanguard's Vindication
Hakke Breach Armaments","Very low base stats.
Lackluster column 1 perks.
Mid origin traits. Non-tiered, non-enhanceable.","","C","Zavala Vendor Legacy Focusing","No"
"","Not Forgotten","Hand Cannon","Energy","Solar","Precision (140 RPM)","Extended Barrel","Accurized","Range","Zen Moment","Magnificent Howl","None","""Never thought it'd end like this, huh, Maria?""
Curated roll, precision 140 RPM. Excellent AE and low recoil.
Very competitive out-of-the-box option.
Non-tiered, non-enhanceable.","","A","Monument of Lost Lights","No"
"","Posterity","Hand Cannon","Energy","Arc","Precision","Fullbore
Hammer-forged
Smallbore","Accurized","Range
Stability","Voltshot
Killing Wind
Rapid Hit","Focused Fury
Opening Shot
Frenzy","Bray Inheritance","Lackluster perk options for PvP.
Primarily look to activate Focused Fury via peeking then engage w/ TTK shift enabled via perk.
Focused Fury, Frenzy, Rampage x1 Ttk shift: 1.00 -> 0.67","","C","Deep Stone Crypt Raid","Yes"
"","Exuviae","Hand Cannon","Kinetic","Stasis","Aggressive","Smallbore
Corkscrew
Polygonal","Accurized
Steady","Range
Stability","Lone Wolf
Keep Away","Precision Instrument
Headstone","Dark Ether Reaper","Non-tiered, but enhanceable.
Lackluster compared to tiered stasis 120s, particularly Loud Lullaby.
Lacks Slideways/Slideshot & Adagio, and has a nearly useless origin for PvP.","","A","Xur / Kell's Fall Legacy Loot Classic Collections Modifier: ON","No"
"","Combined Action","Hand Cannon","Energy","Arc","Aggressive","Smallbore
Corkscrew
Polygonal","Accurized
Steady","Range
Stability","Zen Moment
Perfect Float","Adagio
Kill Clip","Field-Tested","Easy to obtain Adagio 120 option.
Non-tiered, but enhanceable.
108 Weapons required for Adagio 2-tap, or 2h1b base TtK.","","A","Gunsmith Legacy Focusing","No"
"","Kept Confidence","Hand Cannon","Kinetic","Strand","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Killing Wind
Loose Change","Eye of the Storm
Thresh","Head Rush","Sadly subpar perk options & middling stat package on the most beautiful hand cannon.","","B","Xur","Yes"
"","The Steady Hand","Hand Cannon","Kinetic","Kinetic","Aggressive","Crossfire HCS
Hitmark HCS
Truesight HCS","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Slideshot
Moving Target
Zen Moment","Iron Grip
Snapshot Sights
Swashbuckler","None","Decent 120 despite being powercrept.
Non-tiered, non-enhanceable.","","B","Unobtainable (Previously Iron Banner)","No"
"","Nature of the Beast","Hand Cannon","Energy","Arc","Adaptive","Crossfire HCS
Hitmark HCS
Truesight HCS","Accurized
Steady","Range
Stability","Snapshot Sights
Under Pressure
Hip-fire Grip","Rangefinder
Vorpal Weapon","None","Low base stats. No origin.
Sights instead of barrels.
Rare Vorpal Weapon handcannon in Energy Slot.
Non-tiered, non-enhanceable.","","C","Xur","No"
"","Luna's Howl (Original Variant)","Hand Cannon","Energy","Solar","Precision (140 RPM)","Polygonal","Drop Mag","Stability","Zen Moment","Magnificent Howl","None","""They hear the howls and know fear.""
Curated roll, precision 140 RPM. Excellent AE and low recoil.
Very low range hurts this massively.
Non-tiered, non-enhanceable.","","D","Monument of Lost Lights","No"
"","Zaouli's Bane (Pantheon Variant)","Hand Cannon","Energy","Solar","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Explosive Payload
Firefly","Precision Instrument
Meganeura
Incandescent","Elliptical Orbit
Runneth Over","Primarily PvE focused perk options in both slots.
Double AoE via Exp Payload/Firefly + Meganeura/Incan can punish teams laning together.
Elliptical Orbit is a much better Origin option for general PvP use too.","","B","Pantheon Raid","No"
"","The Palindrome (Season of the Chosen Variant)","Hand Cannon","Energy","Void","Adaptive","Hammer-forged
Smallbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Killing Wind
Quickdraw
Bottomless Grief","Rangefinder
Thresh","Vanguard's Vindication
Stunning Recovery","Original Void variant of the Palindrome.
Non-tiered, non-enhanceable.
Uniquely has Bottomless Grief & Rangefinder.","","C","Unobtainable (Previously Grandmaster Nightfall)","No"
"","Epochal Integration (Season of the Deep Variant)","Hand Cannon","Energy","Solar","Adaptive","Smallbore","Ricochet","Handling","Keep Away
Stats For All","Eye of the Storm
Incandescent","Nanotech Tracer Missiles
Harmonic Resonance","Curated Roll. Solid out-of-the-box option.
Low range slightly offset by Keep Away.
Harmonic Resonance DOES buff Conditional Finality handling.
Can pair w/ Briar's Contempt or Koraxis's Distress for further buffs to all 3 weapons.
Nano-missile good for cleanup.
Non-tiered, non-enhanceable.","","B","""Parting the Veil"" quest on Neptune","No"
"","Exalted Truth (Episode: Heresy Variant)","Hand Cannon","Energy","Void","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Slideshot
Keep Away
Withering Gaze
Lone Wolf
Moving Target
Zen Moment","Precision Instrument
Magnificent Howl
Opening Shot
Eye of the Storm
Repulsor Brace","Alacrity
Suros Synergy
One Quiet Moment","VERY stacked perk pools in both columns.
Withering Gaze can punish people who overextend as it applies a 20% slow.
Wither + Repulsor for easy overshields.
Low base AA.
Non-tiered, but enhanceable.","","A","Unobtainable (Previously Trials of Osiris, possibly Xur now?)","No"
"","Judgment (Season of the Wish Variant)","Hand Cannon","Kinetic","Stasis","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Slideshot
Moving Target
Headstone","Opening Shot
Eye of the Storm
Vorpal Weapon","Crossing Over","Vorpal weapon 140 Handcannon.
Competitive perk options in both columns
Headstone res block in Column 1
Origin (non-enhanced) provides Range & Handling above 50% mag, and +1.5-3% damage under 50%.
Non-tiered, but enhanceable.","","A","Unobtainable (Previously Prophecy Dungeon)","No"
"","Unloved (Episode: Heresy Variant)","Hand Cannon","Kinetic","Strand","Heavy Burst","Smallbore
Corkscrew
Polygonal","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Rapid Hit
Dragonfly
Heating Up","Elemental Honing
Paracausal Affinity
Kill Clip","Subjugation","2-round burst handcannon.
Non-tiered variant. Slightly different perks.
Ele Honing TtK shift from neutral.
Ele Hone x2, Kill Clip, Paracausal Affinity, or Frenzy = 0.93 -> 0.53","","B","Unobtainable (Previously Sundered Doctrine Dungeon)","No"
"","The Palindrome (Episode: Heresy Variant)","Hand Cannon","Energy","Arc","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Explosive Payload
Elemental Capacitor
To The Pain","Opening Shot
Magnificent Howl
Snapshot Sights","Wild Card
Vanguard's Vindication
Stunning Recovery","Non-tiered, but enhanceable variant.
Wild Card + Explosive Payload for AoE/Res block.
Elemental Capacitor is a strong perk option unique to this variant.","","A","Unobtainable (Previously Grandmaster Nightfall, possibly Xur now?)","No"
"","D.F.A. (Season of the Haunted Variant)","Hand Cannon","Kinetic","Kinetic","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Fragile Focus
Perpetual Motion
","Opening Shot
Vorpal Weapon","Vanguard's Vindication
Stunning Recovery","Able to hit 100 standing range w/ Fragile Focus.
Kinetic Vorpal Weapon alternative to Rose.","","A","Unobtainable (Previously Grandmaster Nightfall)","No"
"","Spare Rations (Season of the Deep Variant)","Hand Cannon","Kinetic","Kinetic","Adaptive","Hammer-forged
Smallbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Slideshot
Moving Target","Opening Shot
Vorpal Weapon","Disaster Plan","Kinetic, non-lightweight variant of Spare Rations.
Kinetic Vorpal Weapon alternative to Rose.","","A","Unobtainable (Previously Gunsmith Vendor)","No"
"","Luna's Howl (Into The Light Variant)","Hand Cannon","Energy","Solar","Precision (140 RPM)","Full Bore
Hammer-forged
Smallbore","Ricochet
High-caliber
Armor Piercing","Range
Stability","Slideshot
Eye of the Storm
Heal Clip","Magnificent Howl
Precision Instrument
Opening Shot","Indomitability","Unique Precision 140 frame. 
Accurate in-air gunplay.
Non-tiered, but enhanceable.","","A","Unobtainable (Previously Onslaught)","No"
"","Rose (Original Variant)","Hand Cannon","Kinetic","Kinetic","Adaptive","Chambered","Accurized","Range","Outlaw","None","Polymer Grip","Curated roll.
Adaptive frame, NOT Lightweight.
Poor base stats, no intrinsics. Has a fixed Polymer grip.","","D","Unobtainable (Previously Lumina Questline)","No"
"","Rose (Season of the Seraph Variant)","Hand Cannon ","Kinetic","Kinetic","Lightweight","Smallbore
Corkscrew
Hammer-forged","Accurized","Range
Stability","Slideshot
Moving Target
Elemental Capacitor","Vorpal Weapon
Rangefinder
Explosive Payload
Eye of the Storm
Opening Shot","None (Has access to grips instead)","Lightweight/Movement
!!DO NOT DELETE VORPAL WEAPON ROLLS!!
Current/MoT Rose does not have access to Vorpal.
This is arguably the best Vorpal primary for PvP.
Has access to grips instead of origin.","","S","Unobtainable (Previously Comp)","No"
